Package                             Current         Wanted   Latest  Location                                   Depended by
@aws-sdk/client-s3                  3.946.0        3.966.0  3.966.0  node_modules/@aws-sdk/client-s3            provision-worksuite
@aws-sdk/lib-storage                3.946.0        3.966.0  3.966.0  node_modules/@aws-sdk/lib-storage          provision-worksuite
@prisma/adapter-neon                  7.1.0          7.2.0    7.2.0  node_modules/@prisma/adapter-neon          provision-worksuite
@prisma/adapter-pg                    7.1.0          7.2.0    7.2.0  node_modules/@prisma/adapter-pg            provision-worksuite
@prisma/client                        7.1.0          7.2.0    7.2.0  node_modules/@prisma/client                provision-worksuite
@sentry/nextjs                      10.29.0        10.32.1  10.32.1  node_modules/@sentry/nextjs                provision-worksuite
@tailwindcss/postcss                 4.1.17         4.1.18   4.1.18  node_modules/@tailwindcss/postcss          provision-worksuite
@tiptap/extension-color              3.12.1         3.15.3   3.15.3  node_modules/@tiptap/extension-color       provision-worksuite
@tiptap/extension-highlight          3.12.1         3.15.3   3.15.3  node_modules/@tiptap/extension-highlight   provision-worksuite
@tiptap/extension-text-align         3.12.1         3.15.3   3.15.3  node_modules/@tiptap/extension-text-align  provision-worksuite
@tiptap/extension-text-style         3.12.1         3.15.3   3.15.3  node_modules/@tiptap/extension-text-style  provision-worksuite
@tiptap/extension-underline          3.12.1         3.15.3   3.15.3  node_modules/@tiptap/extension-underline   provision-worksuite
@tiptap/pm                           3.12.1         3.15.3   3.15.3  node_modules/@tiptap/pm                    provision-worksuite
@tiptap/react                        3.12.1         3.15.3   3.15.3  node_modules/@tiptap/react                 provision-worksuite
@tiptap/starter-kit                  3.12.1         3.15.3   3.15.3  node_modules/@tiptap/starter-kit           provision-worksuite
@types/node                        20.19.25       20.19.28   25.0.6  node_modules/@types/node                   provision-worksuite
@types/nodemailer                     7.0.4          7.0.5    7.0.5  node_modules/@types/nodemailer             provision-worksuite
@types/react                         19.2.7         19.2.8   19.2.8  node_modules/@types/react                  provision-worksuite
@upstash/redis                       1.35.7         1.36.1   1.36.1  node_modules/@upstash/redis                provision-worksuite
autoprefixer                        10.4.22        10.4.23  10.4.23  node_modules/autoprefixer                  provision-worksuite
eslint                               9.39.1         9.39.2   9.39.2  node_modules/eslint                        provision-worksuite
eslint-config-next                   16.0.7         16.1.1   16.1.1  node_modules/eslint-config-next            provision-worksuite
file-type                            21.1.1         21.3.0   21.3.0  node_modules/file-type                     provision-worksuite
framer-motion                      12.23.25        12.25.0  12.25.0  node_modules/framer-motion                 provision-worksuite
isomorphic-dompurify                 2.34.0         2.35.0   2.35.0  node_modules/isomorphic-dompurify          provision-worksuite
jspdf                                 3.0.4          3.0.4    4.0.0  node_modules/jspdf                         provision-worksuite
jspdf-autotable                       5.0.2          5.0.7    5.0.7  node_modules/jspdf-autotable               provision-worksuite
lucide-react                        0.555.0        0.555.0  0.562.0  node_modules/lucide-react                  provision-worksuite
next                                 16.0.8         16.1.1   16.1.1  node_modules/next                          provision-worksuite
next-auth                     5.0.0-beta.30  5.0.0-beta.30  4.24.13  node_modules/next-auth                     provision-worksuite
pino                                 10.1.0         10.1.1   10.1.1  node_modules/pino                          provision-worksuite
prisma                                7.1.0          7.2.0    7.2.0  node_modules/prisma                        provision-worksuite
react                                19.2.1         19.2.3   19.2.3  node_modules/react                         provision-worksuite
react-dom                            19.2.1         19.2.3   19.2.3  node_modules/react-dom                     provision-worksuite
recharts                              3.5.1          3.6.0    3.6.0  node_modules/recharts                      provision-worksuite
tailwindcss                          4.1.17         4.1.18   4.1.18  node_modules/tailwindcss                   provision-worksuite
ws                                   8.18.3         8.19.0   8.19.0  node_modules/ws                            provision-worksuite
zod                                  4.1.13          4.3.5    4.3.5  node_modules/zod                           provision-worksuite
